48,250,0
49,282,0
55,282,45
54,250,45
61,282,90
60,250,90
67,282,135
66,250,135
73,282,180
72,250,180
79,282,225
78,250,225
84,250,270
85,282,270
90,250,315
91,282,315
144,250,360
145,282,360
146,250,375
151,282,405
150,250,405
156,250,450
157,282,450
163,282,495
162,250,495
169,282,540
168,250,540
174,250,585
175,282,585
180,250,630
181,282,630
186,250,675
187,282,675
240,250,720
241,282,720
244,250,750
247,282,765
246,250,765
253,282,810
252,250,810
258,250,855
343,282,1125
342,250,1125
201,282,1500
200,250,1500
299,282,1875
298,250,1875
13,282,2250
12,250,2250
31,282,2385
30,250,2385
37,282,2430
36,250,2430
42,250,2475
43,282,2475
97,282,2520
96,250,2520
102,250,2565
103,282,2565
108,250,2610
109,282,2610
110,250,2625
114,250,2655
115,282,2655
120,250,2700
121,282,2700
126,250,2745
127,282,2745
132,250,2790
133,282,2790
139,282,2835
138,250,2835
51,282,2895
50,250,2895
56,250,2940
57,282,2940
62,250,2985
63,282,2985
64,250,3000
68,250,3030
69,282,3030
74,250,3075
75,282,3075
80,250,3120
81,282,3120
86,250,3165
87,282,3165
92,250,3210
93,282,3210
147,282,3255
152,250,3300
153,282,3300
158,250,3345
159,282,3345
165,282,3390
164,250,3390
170,250,3435
171,282,3435
176,250,3480
177,282,3480
178,250,3495
179,282,3495
182,250,3525
183,282,3525
184,250,3540
185,282,3540
188,250,3570
189,282,3570
190,250,3585
191,282,3585
242,250,3615
243,282,3615
245,282,3630
248,250,3660
249,282,3660
251,282,3675
250,250,3675
255,282,3705
254,250,3705
256,250,3720
257,282,3720
259,282,3735
260,250,3750
261,282,3750
262,250,3765
263,282,3765
264,250,3780
265,282,3780
266,250,3795
267,282,3795
268,250,3810
269,282,3810
270,250,3825
271,282,3825
272,250,3840
273,282,3840
274,250,3855
275,282,3855
276,250,3870
277,282,3870
278,250,3885
279,282,3885
280,250,3900
281,282,3900
283,282,3915
282,250,3915
285,282,3930
284,250,3930
286,250,3945
287,282,3945
336,250,3960
337,282,3960
339,282,3975
338,250,3975
340,250,3990
341,282,3990
345,282,4020
344,250,4020
347,282,4035
346,250,4035
349,282,4050
348,250,4050
351,282,4065
350,250,4065
352,250,4080
353,282,4080
354,250,4095
355,282,4095
357,282,4110
356,250,4110
359,282,4125
358,250,4125
360,250,4140
361,282,4140
363,282,4155
362,250,4155
364,250,4170
365,282,4170
366,250,4185
367,282,4185
369,282,4200
368,250,4200
370,250,4215
371,282,4215
372,250,4230
373,282,4230
375,282,4245
374,250,4245
377,282,4260
376,250,4260
379,282,4275
378,250,4275
380,250,4290
381,282,4290
383,282,4305
382,250,4305
192,250,4320
193,282,4320
194,250,4335
195,282,4335
197,282,4350
196,250,4350
198,250,4365
199,282,4365
202,250,4395
203,282,4395
204,250,4410
205,282,4410
207,282,4425
206,250,4425
208,250,4440
209,282,4440
210,250,4455
211,282,4455
212,250,4470
213,282,4470
214,250,4485
215,282,4485
216,250,4500
217,282,4500
218,250,4515
219,282,4515
221,282,4530
220,250,4530
222,250,4545
223,282,4545
224,250,4560
225,282,4560
226,250,4575
227,282,4575
228,250,4590
229,282,4590
231,282,4605
230,250,4605
233,282,4620
232,250,4620
234,250,4635
235,282,4635
236,250,4650
237,282,4650
238,250,4665
239,282,4665
288,250,4680
289,282,4680
290,250,4695
291,282,4695
293,282,4710
292,250,4710
294,250,4725
295,282,4725
296,250,4740
297,282,4740
300,250,4770
301,282,4770
303,282,4785
302,250,4785
305,282,4800
304,250,4800
306,250,4815
307,282,4815
308,250,4830
309,282,4830
310,250,4845
311,282,4845
312,250,4860
313,282,4860
315,282,4875
314,250,4875
316,250,4890
317,282,4890
319,282,4905
318,250,4905
320,250,4920
321,282,4920
322,250,4935
323,282,4935
324,250,4950
325,282,4950
327,282,4965
326,250,4965
328,250,4980
329,282,4980
330,250,4995
331,282,4995
332,250,5010
333,282,5010
334,250,5025
335,282,5025
1,282,5040
0,250,5040
3,282,5055
2,250,5055
5,282,5070
4,250,5070
6,250,5085
7,282,5085
8,250,5100
9,282,5100
11,282,5115
10,250,5115
14,250,5145
15,282,5145
17,282,5160
16,250,5160
19,282,5175
18,250,5175
20,250,5190
21,282,5190
23,282,5205
22,250,5205
24,250,5220
25,282,5220
26,250,5235
27,282,5235
28,250,5250
29,282,5250
33,282,5280
32,250,5280
34,250,5295
35,282,5295
38,250,5325
39,282,5325
40,250,5340
41,282,5340
44,250,5370
45,282,5370
47,282,5385
46,250,5385
98,250,5415
99,282,5415
101,282,5430
100,250,5430
105,282,5460
104,250,5460
107,282,5475
106,250,5475
111,282,5505
112,250,5520
113,282,5520
116,250,5550
117,282,5550
118,250,5565
119,282,5565
122,250,5595
123,282,5595
124,250,5610
125,282,5610
129,282,5640
128,250,5640
130,250,5655
131,282,5655
135,282,5685
134,250,5685
137,282,5700
136,250,5700
140,250,5730
141,282,5730
142,250,5745
143,282,5745
52,250,5790
53,282,5790
58,250,5835
59,282,5835
65,282,5880
71,282,5925
70,250,5925
76,250,5970
77,282,5970
83,282,6015
82,250,6015
89,282,6060
88,250,6060
95,282,6105
94,250,6105
149,282,6150
148,250,6150
154,250,6195
155,282,6195
160,250,6240
161,282,6240
166,250,6285
167,282,6285
173,282,6330
172,250,6330
